"","h1n1_concern","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_wash_hands","behavioral_large_gatherings","behavioral_outside_home","behavioral_touch_face","doctor_recc_h1n1","chronic_med_condition","child_under_6_months","health_worker","opinion_h1n1_vacc_effective","opinion_h1n1_risk","opinion_h1n1_sick_from_vacc","age_group","education","race","sex","income_poverty","marital_status","rent_or_own","employment_status","census_msa","household_adults","household_children","h1n1_vaccine"
"187",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"45 - 54 Years","12 Years","Black","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",0,0,0
"188",1,1,0,0,0,0,0,0,1,0,0,0,0,4,1,2,"65+ Years","Some College","Black","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"189",1,1,0,1,0,1,1,1,1,0,0,0,0,4,1,2,"55 - 64 Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",2,0,0
"191",2,2,0,1,0,1,0,0,1,0,0,0,0,5,1,4,"18 - 34 Years","12 Years","Other or Multiple","Female","Below Poverty","Not Married","Rent","Employed","Non-MSA",0,3,0
"192",0,2,0,1,0,1,1,1,1,0,0,0,0,4,1,1,"45 - 54 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Unemployed","MSA, Not Principle  City",1,1,0
"193",2,1,0,1,0,1,1,1,1,1,0,0,0,5,4,4,"18 - 34 Years","< 12 Years","Black","Female","> $75,000","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",3,0,1
"194",1,1,0,0,0,1,0,1,1,0,0,0,0,5,2,2,"18 - 34 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Rent","Unemployed","MSA, Not Principle  City",1,0,0
"195",2,1,0,1,0,1,0,0,1,1,0,0,0,3,4,1,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"196",2,2,1,1,0,1,1,1,1,1,1,0,0,4,4,1,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,1
"197",0,1,1,1,0,1,1,1,1,0,0,0,1,5,1,1,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"198",1,1,0,0,0,1,1,0,1,0,0,0,0,4,2,1,"18 - 34 Years","< 12 Years","White","Female","> $75,000","Not Married","Rent","Not in Labor Force","Non-MSA",2,2,0
"200",1,2,0,1,0,0,0,0,0,1,1,0,0,3,3,2,"18 - 34 Years","College Graduate","Black","Female","> $75,000","Not Married","Own","Employed","MSA, Principle City",2,0,0
"201",1,2,0,1,0,1,0,0,0,1,0,0,0,4,2,2,"18 - 34 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",1,1,0
"202",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,4,"18 - 34 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","Non-MSA",1,0,0
"203",1,1,0,1,0,0,0,0,1,0,0,0,0,4,1,1,"18 - 34 Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",1,0,0
"205",2,2,0,1,0,1,0,0,1,0,1,0,0,5,4,4,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Principle City",3,0,1
"207",0,2,0,1,0,1,0,0,1,0,0,0,0,4,2,1,"18 - 34 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,3,0
"208",3,1,0,0,0,1,0,1,1,0,1,0,0,4,4,4,"55 - 64 Years","< 12 Years","Hispanic","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,0,0
"209",0,1,0,1,0,1,0,0,1,0,0,0,0,4,1,1,"65+ Years","College Graduate","White","Female","> $75,000","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"210",1,2,0,0,0,0,0,0,0,0,0,1,0,5,1,1,"55 - 64 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"211",2,1,0,1,0,1,0,0,0,0,0,0,0,4,1,1,"45 - 54 Years","12 Years","White","Male","> $75,000","Not Married","Rent","Employed","MSA, Not Principle  City",0,2,0
"212",0,1,0,1,0,0,0,0,0,1,1,0,0,3,1,4,"35 - 44 Years","12 Years","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,3,1
"213",1,1,0,0,0,1,0,0,1,1,1,0,1,5,2,1,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"214",0,2,0,0,0,1,0,0,0,0,0,0,1,4,4,1,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",2,0,1
"215",1,2,0,1,0,1,1,0,1,0,0,0,0,4,4,2,"18 - 34 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",1,0,0
"216",2,1,0,1,0,1,0,0,1,1,1,0,0,4,4,4,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"217",2,1,0,1,0,1,1,0,1,0,0,0,0,4,1,4,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"219",2,1,0,1,0,1,1,0,1,0,1,0,0,5,2,4,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"220",1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,4,"45 - 54 Years","12 Years","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,2,1
"221",2,1,0,0,0,1,0,0,1,0,0,0,0,4,2,2,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,0,0
"222",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"18 - 34 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",1,0,0
"223",3,1,0,1,0,1,0,1,1,1,0,0,1,2,1,2,"18 - 34 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"224",1,0,0,0,0,1,0,0,1,0,1,0,0,2,2,2,"55 - 64 Years","12 Years","White","Female","Below Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"225",2,1,0,1,0,1,1,0,0,0,0,0,0,5,2,2,"18 - 34 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"229",1,1,0,1,0,1,1,0,0,1,0,1,0,5,2,2,"35 - 44 Years","Some College","Other or Multiple","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,1,1
"230",1,1,0,1,0,1,0,0,1,0,1,0,0,4,2,1,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"231",3,1,0,1,0,1,1,1,1,0,1,0,0,5,2,4,"55 - 64 Years","< 12 Years","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"232",3,1,0,1,0,1,0,0,1,0,0,0,0,5,1,4,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"234",1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,"45 - 54 Years","College Graduate","Hispanic","Female","> $75,000","Not Married","Rent","Employed","MSA, Not Principle  City",1,1,0
"237",1,2,0,1,1,1,0,0,0,0,1,0,0,4,2,2,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"241",2,1,0,1,0,1,0,0,0,0,0,0,0,3,3,2,"55 - 64 Years","Some College","Other or Multiple","Female","<= $75,000, Above Poverty","Not Married","Rent","Unemployed","MSA, Not Principle  City",0,0,0
"242",3,1,0,1,0,1,0,0,1,0,0,0,0,3,5,2,"55 - 64 Years","12 Years","White","Male","> $75,000","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"243",1,1,0,0,0,1,0,0,1,0,0,0,0,2,2,1,"35 - 44 Years","Some College","White","Female","> $75,000","Not Married","Own","Not in Labor Force","Non-MSA",0,3,0
"245",1,2,0,0,0,1,0,0,0,0,1,0,0,4,2,2,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",3,0,0
"246",2,1,0,1,0,1,1,0,1,0,0,0,0,4,2,2,"55 - 64 Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",0,0,0
"247",2,2,0,1,0,1,0,1,1,0,0,0,0,4,4,4,"45 - 54 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,3,0
"248",2,2,0,1,0,1,0,0,1,0,0,0,0,5,2,2,"35 - 44 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,1,0
"249",1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,"18 - 34 Years","Some College","White","Female","Below Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",1,2,0
"251",2,2,0,1,0,1,0,0,1,0,1,0,0,5,4,5,"55 - 64 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"252",3,2,0,1,0,1,0,0,1,0,0,0,0,4,2,1,"55 - 64 Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"253",0,1,0,0,0,1,0,0,1,0,0,0,0,5,1,1,"45 - 54 Years","College Graduate","White","Female","> $75,000","Not Married","Own","Employed","MSA, Principle City",0,0,0
"254",1,2,0,0,0,1,1,0,1,0,1,0,0,4,4,2,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,0,0
"255",2,2,0,1,0,1,0,0,0,0,1,0,0,5,2,1,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"256",1,0,1,1,0,1,0,1,0,1,0,0,0,5,5,4,"18 - 34 Years","< 12 Years","Hispanic","Female","Below Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",3,3,0
"257",3,0,0,1,0,1,1,1,0,0,0,0,0,4,2,1,"18 - 34 Years","< 12 Years","Hispanic","Male","Below Poverty","Not Married","Rent","Employed","MSA, Principle City",1,0,0
"258",2,2,1,1,0,1,0,0,0,0,0,1,0,4,2,1,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"259",1,1,0,0,0,1,0,0,1,0,0,0,0,4,1,2,"18 - 34 Years","Some College","Other or Multiple","Male","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",2,0,0
"261",2,2,0,1,0,1,1,1,1,0,0,0,0,4,2,2,"65+ Years","College Graduate","Other or Multiple","Female","> $75,000","Married","Own","Unemployed","MSA, Principle City",1,0,0
"262",1,0,0,1,0,1,1,1,1,0,1,0,0,3,1,1,"65+ Years","12 Years","Black","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"263",2,2,0,1,1,1,1,0,1,1,1,0,1,5,4,4,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",1,0,1
"264",0,1,0,1,0,1,0,0,1,0,1,0,0,5,2,1,"65+ Years","College Graduate","Hispanic","Male","> $75,000","Married","Own","Not in Labor Force","Non-MSA",1,0,1
"265",2,2,0,1,0,1,1,1,1,0,1,1,0,3,1,2,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"266",2,1,0,1,0,1,0,0,0,0,0,1,0,4,3,2,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,0,0
"267",2,1,1,1,0,1,1,1,1,0,0,0,0,4,5,5,"45 - 54 Years","12 Years","Hispanic","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"268",1,1,0,1,0,0,0,0,1,0,0,0,0,5,2,1,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",1,0,0
"269",2,1,0,1,0,0,0,0,1,0,0,0,0,5,4,4,"35 - 44 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Principle City",1,2,1
"271",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,4,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,3,0
"272",3,2,0,1,0,1,1,0,1,0,0,0,0,5,1,2,"35 - 44 Years","College Graduate","White","Male","Below Poverty","Married","Own","Employed","MSA, Principle City",1,3,0
"275",2,1,0,0,0,1,1,0,0,0,1,0,0,4,2,2,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Own","Unemployed","MSA, Not Principle  City",2,0,0
"276",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Rent","Employed","MSA, Principle City",2,0,0
"278",1,2,0,1,0,1,1,1,1,0,0,0,0,3,1,1,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",2,1,0
"279",2,1,0,1,0,1,0,0,1,1,0,0,0,4,4,4,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,2,1
"280",2,2,0,1,0,1,1,0,1,0,0,0,0,5,4,1,"45 - 54 Years","College Graduate","Hispanic","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,2,0
"282",2,1,0,1,0,1,0,0,1,0,0,1,0,4,2,2,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,1,0
"283",2,1,0,1,0,1,1,1,1,0,1,1,0,2,2,5,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"288",3,2,0,0,0,1,0,0,0,0,0,0,0,2,2,1,"18 - 34 Years","College Graduate","Other or Multiple","Female","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Principle City",1,1,0
"289",2,2,0,1,0,1,0,0,1,1,0,0,1,4,4,4,"55 - 64 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"290",2,2,0,1,0,1,1,0,1,0,1,0,0,4,1,2,"45 - 54 Years","College Graduate","White","Female","> $75,000","Not Married","Own","Unemployed","MSA, Not Principle  City",0,0,0
"291",1,2,0,1,0,1,0,0,1,0,0,0,0,5,1,1,"18 - 34 Years","College Graduate","Hispanic","Male","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"292",2,1,0,1,0,0,1,1,1,0,0,0,0,3,2,5,"55 - 64 Years","12 Years","White","Male","Below Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",0,0,0
"293",2,2,0,1,0,1,0,0,1,0,1,0,0,5,1,4,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"294",1,1,1,1,0,1,0,0,0,1,1,0,0,3,2,2,"65+ Years","Some College","Other or Multiple","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"295",2,1,0,1,0,1,0,0,1,0,1,0,0,5,1,1,"35 - 44 Years","< 12 Years","White","Female","Below Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",1,3,1
"297",1,2,0,0,0,0,0,0,0,1,0,0,0,3,1,1,"18 - 34 Years","12 Years","White","Male","> $75,000","Not Married","Own","Employed","Non-MSA",1,0,0
"298",1,1,0,1,0,1,0,0,1,0,1,0,0,5,2,2,"55 - 64 Years","12 Years","White","Female","> $75,000","Married","Own","Employed","Non-MSA",2,0,1
"299",1,2,0,1,0,1,0,0,1,0,1,0,1,5,2,2,"45 - 54 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",3,0,0
"300",3,1,0,1,0,1,1,1,1,0,0,0,0,3,2,4,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"302",1,1,0,1,0,1,0,0,0,0,0,0,0,4,2,2,"18 - 34 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Unemployed","MSA, Not Principle  City",1,0,0
"303",3,1,0,0,0,1,0,0,0,0,0,0,0,4,2,4,"55 - 64 Years","< 12 Years","Black","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",0,0,0
"304",2,0,0,1,0,1,1,1,1,1,0,0,0,5,4,4,"65+ Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"305",3,0,0,1,0,1,1,1,1,0,0,0,0,5,2,5,"65+ Years","12 Years","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,0,0
"306",1,2,0,1,0,1,0,1,1,0,0,0,0,3,1,1,"55 - 64 Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"307",0,2,1,0,0,1,1,0,1,1,0,0,0,5,5,1,"55 - 64 Years","College Graduate","White","Male","> $75,000","Not Married","Own","Employed","Non-MSA",3,1,1
"308",0,2,0,1,0,1,0,0,1,0,0,0,0,5,2,1,"18 - 34 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Rent","Employed","Non-MSA",1,1,1
"309",2,2,0,1,1,1,0,0,1,1,1,0,0,4,2,2,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",3,0,1
"310",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"312",1,1,0,0,0,1,0,0,0,0,0,0,0,4,2,1,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",2,0,0
"313",1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,"55 - 64 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"314",3,1,0,1,0,1,1,0,0,0,0,0,0,5,1,2,"45 - 54 Years","12 Years","Other or Multiple","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"315",2,1,0,1,0,1,0,0,0,0,1,1,0,5,2,1,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",1,0,0
"316",0,2,0,1,0,1,0,0,0,1,0,1,0,4,1,1,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",2,1,0
"319",0,1,0,1,0,1,0,0,1,1,0,1,0,4,2,1,"45 - 54 Years","12 Years","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,0,1
"320",1,1,0,1,0,1,0,0,1,1,1,0,0,5,2,2,"45 - 54 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Unemployed","MSA, Not Principle  City",3,0,1
"321",0,1,0,0,0,1,0,0,1,0,0,0,0,5,1,1,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"323",2,2,0,1,0,1,0,0,1,0,0,0,0,4,4,2,"45 - 54 Years","12 Years","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"324",1,2,0,1,1,0,0,0,1,0,0,0,0,5,1,1,"55 - 64 Years","12 Years","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"326",1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,1,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,2,1
"327",0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,1,"35 - 44 Years","12 Years","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,2,0
"328",3,1,0,1,1,1,1,0,1,0,1,0,0,5,1,5,"45 - 54 Years","< 12 Years","White","Male","Below Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"330",2,2,0,1,1,1,0,0,1,0,0,1,0,4,5,4,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"331",2,2,0,1,0,1,0,0,1,1,0,0,0,4,2,2,"65+ Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"332",0,1,0,1,0,1,1,1,1,0,0,0,0,4,1,4,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"334",2,1,0,1,0,1,1,1,1,0,1,0,0,5,4,4,"65+ Years","Some College","Hispanic","Male","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",2,0,0
"336",2,2,0,1,0,1,0,0,1,0,0,0,0,4,2,4,"65+ Years","Some College","White","Female","> $75,000","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"337",0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,1,"18 - 34 Years","12 Years","White","Female","Below Poverty","Not Married","Rent","Unemployed","MSA, Not Principle  City",0,0,0
"338",2,1,0,1,0,1,0,0,1,0,0,0,0,4,4,4,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"339",3,0,0,0,0,1,0,1,0,0,0,0,0,3,1,5,"65+ Years","Some College","White","Female","Below Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"340",1,2,0,0,0,1,0,0,1,1,0,0,0,4,4,2,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,2,1
"341",2,1,0,1,0,1,1,1,1,0,0,0,0,4,2,2,"18 - 34 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Rent","Employed","Non-MSA",1,1,0
"342",2,1,0,0,0,1,0,0,1,0,0,0,0,2,1,1,"18 - 34 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"343",0,1,0,1,0,1,1,1,1,0,0,0,0,5,1,4,"18 - 34 Years","Some College","White","Male","Below Poverty","Not Married","Rent","Employed","MSA, Principle City",1,0,0
"344",1,1,0,1,0,1,0,0,1,0,0,0,0,4,1,4,"18 - 34 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",2,1,0
"345",2,1,0,1,0,1,1,1,1,1,0,0,0,5,4,5,"45 - 54 Years","Some College","Black","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",0,1,0
"347",3,2,0,0,1,1,1,1,1,0,1,0,0,5,4,2,"65+ Years","Some College","White","Male","> $75,000","Married","Rent","Not in Labor Force","Non-MSA",3,1,1
"349",1,2,0,1,0,1,0,0,1,0,0,0,0,3,1,4,"55 - 64 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"350",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,4,"18 - 34 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",1,0,0
